"编号","所属产品","平台/分支","所属模块","所属计划","来源","来源备注","研发需求名称","描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","类别","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","评审者","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分研发需求","相关研发需求","重复研发需求","附件"
"756","老彩票迭代需求(#14)","","","","","","【前后端】DoveCash推广支持","参考增加配置文件dovecash.ini
配置项如下


[1]
;第一次推广
starttime=2024-01-02
endtime=2024-02-02


[2]
;第二次推广
starttime=2024-01-05
endtime=2024-01-16


作为campaign 以及对应的起始时间（时分秒按照0点0分0秒）结束时间（时分秒按照23点59分59秒）


局数的统计，彩票采用一个期号作为一期，棋牌采用游戏局号，视讯采用局号，电子,体育一条注单为一局。
赢金只计算中奖金额
用户累计时长字段不返回


按照文档要求增加两个接口给DoveCash方调用，文档见附件
<img src=““{4691.png}““ alt=““““ />



","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-02 14:07:27","closed","2025-01-14 12:01:49","","","","Jay","2025-01-14 12:01:49","done","Jay","2025-01-14 12:01:49","","","","Android对接说明文档.pdf
",""
"757","老彩票迭代需求(#14)","","","","","","【后端】TG机器人需求","实现一个TG机器人，机器人功能
1、TG用户和机器人的正常对话的消息（命令不转）都被自动转发到A群组，配置的群组
2、机器人可以发送消息给所有使用机器人的TG用户。


客服管理 处新增 后台配置 TG机器人助手
<img src=““{4693.png}““ alt=““““ />
保存所有和机器人交互的TG用户信息，用于消息广播使用


机器人可操作指令集（当前版本）
/start  开始对话
/broadcast 输入文本内容  （机器人管理员权限），把输入文本内容发给全部TG用户


会员直接输入文字发送给机器人，机器人自动转发到配置的群组中，如图
<img src=““{4694.png}““ alt=““““ />
机器人简介就是访问机器人返回的默认文本如图
<img src=““{4695.png}““ alt=““““ />


start后和机器人的任何对话，机器人都不做回应，只转发到配置的群组中。","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-03 19:22:37","closed","2025-01-14 12:03:11","","","","Jay","2025-01-14 12:03:11","done","Jay","2025-01-14 12:03:11","","","","",""
"758","老彩票迭代需求(#14)","","","","","","【后端】未领取的VIP月奖励在下个奖励周期直接失效","按运营的需求，比如11月1日生成基于10月产生的VIP月奖励，会员没有在11月及时领取，到12月时直接失效","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-04 12:40:30","closed","2025-01-14 12:01:58","","","","Jay","2025-01-14 12:01:58","done","Jay","2025-01-14 12:01:58","","","","",""
"759","老彩票迭代需求(#14)","","","","","","【后端】会员批量操作增加打码量操作","会员批量导入操作增加一列会员打码量，可输入整数，不填默认不调整，新模板见附件


基于操作时的会员打码量数值进行加减，不是直接按输入值设置！！


<img src=““{4696.png}““ alt=““““ />
<img src=““{4697.png}““ alt=““““ />","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-04 12:48:16","closed","2025-02-13 18:50:26","","","","Jay","2025-02-13 18:50:26","done","Jay","2025-02-13 18:50:26","","","","批量会员状态备注修改模板V2 (1).xlsx
批量会员状态备注修改模板_最新.xlsx
",""
"760","老彩票迭代需求(#14)","","","","","","【后端】首存负盈利手动审核优化","首存负盈利手动审核页面优化


<img src=““{4706.png}““ alt=““““ />
增加查询条件，操作人 输入框精确搜索
<img src=““{4702.png}““ alt=““““ />
操作提交，拒绝，锁定后都刷新一下页面，刷新时候保留查询条件




<img src=““{4703.png}““ alt=““““ />
操作人为system时增加一个操作按钮，锁定，点击后修改操作人和操作时间。
当操作人为非自己和system时，（假设当前操作人为xxx）点击按钮弹窗提示“xxx正在审核”。


原型参考：https://yfq0j3.axshare.com

","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-04 17:22:17","closed","2025-01-14 12:02:42","","","","Jay","2025-01-14 12:02:42","done","Jay","2025-01-14 12:02:42","","","","",""
"761","老彩票迭代需求(#14)","","","","","","【前后端】Arb激活流程调整","<img src=““{4708.png}““ alt=““““ />
1、账户类型手机号码注册的直接把注册手机号码传给arb
2、非手机号码注册的如果已经有绑定手机了，就把绑定手机传给arb
3、非手机号码注册的如果已没有绑定手机，站点有开注册短信验证码，那么点击激活按钮弹出绑定手机号码页面，让用户绑定，绑定完成数据写入数据库，并同时把手机号码传给Arb（绑定完成即跳转）




","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-04 17:54:34","closed","2025-01-14 12:03:22","","","","Jay","2025-01-14 12:03:22","done","Jay","2025-01-14 12:03:22","","","","",""
"762","老彩票迭代需求(#14)","","","","","","【前端】巴西站点翻译调整","运营想要更改这个报错信息  改成
英文 : Password cannot be empty
葡萄牙语 : Senha não pode estar vazia

<img src=““{4711.png}““ alt=““““ />

","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-04 19:15:37","closed","2025-01-06 20:41:08","","","","Jay","2025-01-06 20:41:08","done","Jay","2025-01-06 20:41:08","","","","",""
"763","老彩票迭代需求(#14)","","","","","","【前后端】首存负盈利送彩金前端显示调整","<img src=““{4746.png}““ alt=““““ />
调整为
<img src=““{4747.png}““ alt=““““ />
接口增加参数 获取小时，前端根据后台传的值<img src=““{4749.png}““ alt=““““ />展示
<img src=““{4748.png}““ alt=““““ />","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-09 19:59:27","closed","2025-01-14 12:02:05","","","","Jay","2025-01-14 12:02:05","done","Jay","2025-01-14 12:02:05","","","","",""
"764","老彩票迭代需求(#14)","","","","","","【后端】锦标赛查看排名增加导出功能","锦标赛
查看排名时增加导出按钮
<img src=““{4752.png}““ alt=““““ />
导出字段【厂商名称】 【排名】【会员ID】【投注金额】【手动增加投注金额】【手动添加时间】【参与活动时间】【最后投注时间】【添加人】
（就是会员账号不要做导出！！！）

","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-09 20:38:53","closed","2025-01-14 12:02:23","","","","Jay","2025-01-14 12:02:23","done","Jay","2025-01-14 12:02:23","","","","",""
"765","老彩票迭代需求(#14)","","","","","","【前后端】外链管理新增TG链接","<img src=““{4754.png}““ alt=““““ />
外链管理下新增  【首页Telegram外链】 处理和首页大转盘外链一致
<img src=““{4755.png}““ alt=““““ />
编辑也相同，开启后在前端新增一个Telegram的图标，放在图示位置
<img src=““{4756.png}““ alt=““““ />
Telegram的LOGO见附件，直接跳转配置的链接，随便配置什么链接都能跳转，不用特别限制telegram格式




见原来外链转盘的参考：
<img src=““{4757.png}““ alt=““““ />","","","3","","已关闭","已关闭","功能","","","","Jay","2025-01-10 12:32:44","closed","2025-01-14 12:02:14","","","","Jay","2025-01-14 12:02:14","done","Jay","2025-01-14 12:02:14","","","","Telegram_logo.svg.png
",""
