 ,,,,,,,,,,,,,,,,,,,,,
,更新情况,,,,,产品,,,前端,,,,后端,,,,测试,,,,更新情况
编号,状态,版本规划,模块,任务描述,备注,人员,需求情况,完成时间,人员,开发状态,开始日期,结束日期,人员,开发状态,开始日期,结束日期,人员,测试进度,开始日期,结束日期,更新时间
1,已发布,9.18版本,落地页自动化,落地页自动部署全流程,"拯救运维及加速投流
十万火急",Jay,文档或原型完成,2025-09-12,Sam,开发完成,2025-09-12,,Owen,开发完成,2025-9-12,,Carey,测试完成,,,2025-09-18
2,已发布,9.18版本,站内信优化,后台【消息管理】【站内信】需要新增个操作人,运营表,Jay,文档或原型完成,2025-09-12,Darrel,开发完成,2025-09-12,,Hyman,开发完成,,,Marina,测试完成,,,2025-09-18
3,已发布,9.18版本,分包转移,这个奖励图片要有显示金额，要求额外加一个按钮显示金额,运营表,Jay,看任务直接做,2025-9-12,Justin,开发完成,2025-9-15,2025-9-15,Gavin,开发完成,,,Carey,测试完成,,,2025-09-18
4,已发布,9.18版本,用户列表优化,"""会员列表需要增加首充时间字段，也要增加一个导出功能，有权限看到手机号的账号导出要带有手机号码，搜索栏要有一个手机号手机号搜索的功能",在首二三充表中修改,Jay,看任务直接做,2025-9-13,Sam,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-9-18
5,已发布,9.18版本,提现-充值订单优化,"""【充值订单】和【提现订单】这个字段搜索要增加一首充会员/首次提现的字段，并且提现要区分三个时间段，申请时间，提交时间，完成时间
，充值的时间段分别为会员的注册时间，创建时间，支付时间",运营表,Jay,文档或原型完成,2025-9-13,Darrel,开发完成,,,harris,开发完成,,,Marina,测试完成,,,2025-9-18
6,已发布,9.25版本,,后台时间读取的是本地时间，印度时间还没到9号，页面的时间范围就显示为9号了。运营要求改成和印度时间一致,,Jay,需求任务已处理,,Sam,开发完成,,,,,,,Marina,测试完成,,,2025-9-24
7,已发布,9.18版本,,卡号和iscf   需要权限可以开放查看全部,,Jay,看任务直接做,,无,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-9-18
8,已发布,9.18版本,充值通道列表,站点反馈充值通道展示出来的数据，少了一些，要求 补充一下成功率加上10分钟、半小时、全天的数据,,Jay,看任务直接做,,Erde,开发完成,,,harris,开发完成,,,Marina,测试完成,,,2025-9-18
9,已发布,10.10版本,工单系统,工单列表这里要求加上导出功能,10.2版本delay,Jay,需求任务已处理,2025-9-22,Justin,开发完成,,,Damon,,,,Carey,测试完成,,,2025-10-12
10,已发布,9.18版本,,目前客户没绑定银行，前台提现页面的可提现余额是 0，运营要求改成：客户没绑定银行卡也要正常显示可提现的余额,,,看任务直接做,,Sam,开发完成,,,,,,,Carey,测试完成,,,2025-9-18
11,暂不处理,,,运营说在提现订单这里查询单号，查询出来的单号和搜索的不一致,翻译问题，暂时没办法,,,,June,,,,,,,,,,,,
12,已发布,9.18版本,仪表盘,运营要求加个可以查看盘内用户总余额的功能,,,文档或原型完成,,Erde,开发完成,,,Hyman,开发完成,,,Carey,,,,2025-9-18
